Player,Span,Mat,Team
LA Pomersbach,2008-2013,12,Kings XI Punjab
N Pooran,2019-2021,33,Kings XI Punjab
IC Porel,2021-2021,1,Kings XI Punjab
RR Powar,2008-2012,22,Kings XI Punjab
Prabhsimran Singh,2019-2024,34,Kings XI Punjab
CA Pujara,2014-2014,6,Kings XI Punjab
K Rabada,2022-2024,30,Kings XI Punjab
KL Rahul,2018-2021,55,Kings XI Punjab
PBB Rajapaksa,2022-2023,13,Kings XI Punjab
AS Rajpoot,2018-2019,12,Kings XI Punjab
AU Rashid,2021-2021,1,Kings XI Punjab
Ravi Bishnoi,2020-2021,23,Kings XI Punjab
JA Richardson,2021-2021,3,Kings XI Punjab
NJ Rimmington,2011-2011,1,Kings XI Punjab
RR Rossouw,2024-2024,8,Kings XI Punjab
WP Saha,2014-2017,57,Kings XI Punjab
P Sahu,2016-2016,5,Kings XI Punjab
N Saini,2012-2012,10,Kings XI Punjab
Sandeep Sharma,2013-2022,61,Kings XI Punjab
KC Sangakkara,2008-2010,37,Kings XI Punjab
RR Sarwan,2008-2008,4,Kings XI Punjab
R Sathish,2013-2013,9,Kings XI Punjab
Jalaj S Saxena,2021-2021,1,Kings XI Punjab
V Sehwag,2014-2015,25,Kings XI Punjab
M Shahrukh Khan,2021-2023,33,Kings XI Punjab
AR Sharma,2024-2024,11,Kings XI Punjab
I Sharma,2017-2017,6,Kings XI Punjab
JM Sharma,2022-2024,40,Kings XI Punjab
MM Sharma,2016-2018,37,Kings XI Punjab
Shashank Singh,2024-2024,14,Kings XI Punjab
Shivam Sharma,2014-2015,5,Kings XI Punjab
Shivam Singh,2024-2024,1,Kings XI Punjab
MW Short,2023-2023,6,Kings XI Punjab
Sikandar Raza,2023-2024,9,Kings XI Punjab
VRV Singh,2008-2010,19,Kings XI Punjab
OF Smith,2022-2022,6,Kings XI Punjab
RS Sodhi,2010-2010,3,Kings XI Punjab
S Sohal,2008-2010,11,Kings XI Punjab
BB Sran,2018-2018,6,Kings XI Punjab
S Sreesanth,2008-2010,28,Kings XI Punjab
SJ Srivastava,2010-2011,14,Kings XI Punjab
TM Srivastava,2008-2009,7,Kings XI Punjab
MP Stoinis,2016-2018,19,Kings XI Punjab
Sunny Singh,2011-2011,6,Kings XI Punjab
Swapnil Singh,2016-2017,5,Kings XI Punjab
A Taide,2023-2024,9,Kings XI Punjab
R Tewatia,2017-2017,3,Kings XI Punjab
SN Thakur,2015-2015,1,Kings XI Punjab
J Theron,2010-2010,7,Kings XI Punjab
MK Tiwary,2018-2018,5,Kings XI Punjab
AJ Tye,2018-2019,20,Kings XI Punjab
PC Valthaty,2011-2013,21,Kings XI Punjab
CV Varun,2019-2019,1,Kings XI Punjab
M Vijay,2015-2016,25,Kings XI Punjab
GC Viljoen,2019-2019,6,Kings XI Punjab
M Vohra,2013-2017,45,Kings XI Punjab
Yuvraj Singh,2008-2018,51,Kings XI Punjab
B Akhil,2011-2011,1,Kochi Tuskers Kerala
Y Gnaneswara Rao,2011-2011,2,Kochi Tuskers Kerala
RV Gomez,2011-2011,11,Kochi Tuskers Kerala
BJ Hodge,2011-2011,14,Kochi Tuskers Kerala
RA Jadeja,2011-2011,14,Kochi Tuskers Kerala
KM Jadhav,2011-2011,6,Kochi Tuskers Kerala
DPMD Jayawardene,2011-2011,13,Kochi Tuskers Kerala
M Klinger,2011-2011,4,Kochi Tuskers Kerala
VVS Laxman,2011-2011,3,Kochi Tuskers Kerala
BB McCullum,2011-2011,13,Kochi Tuskers Kerala
M Muralidaran,2011-2011,5,Kochi Tuskers Kerala
P Parameswaran,2011-2011,5,Kochi Tuskers Kerala
PA Patel,2011-2011,14,Kochi Tuskers Kerala
NLTC Perera,2011-2011,4,Kochi Tuskers Kerala
RR Powar,2011-2011,5,Kochi Tuskers Kerala
P Prasanth,2011-2011,1,Kochi Tuskers Kerala
OA Shah,2011-2011,3,Kochi Tuskers Kerala
RP Singh,2011-2011,14,Kochi Tuskers Kerala
S Sreesanth,2011-2011,9,Kochi Tuskers Kerala
R Vinay Kumar,2011-2011,13,Kochi Tuskers Kerala
S Ladda,2011-2013,3,Kolkata Knight Riders
AB Agarkar,2008-2010,27,Kolkata Knight Riders
Aman Hakim Khan,2022-2022,1,Kolkata Knight Riders
Anureet Singh,2009-2009,3,Kolkata Knight Riders
VG Arora,2023-2024,15,Kolkata Knight Riders
Azhar Mahmood,2015-2015,1,Kolkata Knight Riders
L Balaji,2011-2013,35,Kolkata Knight Riders
SB Bangar,2009-2009,1,Kolkata Knight Riders
T Banton,2020-2020,2,Kolkata Knight Riders
R Bhatia,2011-2013,46,Kolkata Knight Riders
SW Billings,2022-2022,8,Kolkata Knight Riders
MS Bisla,2011-2014,27,Kolkata Knight Riders
SE Bond,2010-2010,8,Kolkata Knight Riders
J Botha,2015-2015,4,Kolkata Knight Riders
MV Boucher,2011-2011,4,Kolkata Knight Riders
TA Boult,2017-2017,6,Kolkata Knight Riders
CR Brathwaite,2019-2019,2,Kolkata Knight Riders
DM Bravo,2017-2017,1,Kolkata Knight Riders
KC Cariappa,2015-2019,2,Kolkata Knight Riders
PVD Chameera,2024-2024,1,Kolkata Knight Riders
PP Chawla,2014-2019,70,Kolkata Knight Riders
A Chopra,2008-2009,7,Kolkata Knight Riders
NM Coulter-Nile,2017-2017,8,Kolkata Knight Riders
PJ Cummins,2014-2022,30,Kolkata Knight Riders
TK Curran,2018-2018,5,Kolkata Knight Riders
DB Das,2008-2013,31,Kolkata Knight Riders
C de Grandhomme,2017-2017,12,Kolkata Knight Riders
M de Lange,2012-2012,3,Kolkata Knight Riders
JL Denly,2019-2019,1,Kolkata Knight Riders
AB Dinda,2008-2010,29,Kolkata Knight Riders
P Dogra,2013-2013,1,Kolkata Knight Riders
LH Ferguson,2019-2023,21,Kolkata Knight Riders
AJ Finch,2022-2022,5,Kolkata Knight Riders
G Gambhir,2011-2017,108,Kolkata Knight Riders
SC Ganguly,2008-2010,40,Kolkata Knight Riders
RS Gavaskar,2010-2010,2,Kolkata Knight Riders
CH Gayle,2009-2010,16,Kolkata Knight Riders
AN Ghosh,2009-2009,2,Kolkata Knight Riders
SP Goswami,2011-2011,5,Kolkata Knight Riders
CJ Green,2020-2020,1,Kolkata Knight Riders
HF Gurney,2019-2019,8,Kolkata Knight Riders
BJ Haddin,2011-2011,1,Kolkata Knight Riders
Harbhajan Singh,2021-2021,3,Kolkata Knight Riders
Harpreet Singh,2010-2010,1,Kolkata Knight Riders
Harshit Rana,2022-2024,21,Kolkata Knight Riders
JW Hastings,2016-2016,2,Kolkata Knight Riders
MC Henriques,2009-2009,4,Kolkata Knight Riders
BJ Hodge,2008-2010,19,Kolkata Knight Riders
GB Hogg,2015-2016,11,Kolkata Knight Riders
JO Holder,2016-2016,4,Kolkata Knight Riders
DJ Hussey,2008-2010,23,Kolkata Knight Riders
B Indrajith,2022-2022,3,Kolkata Knight Riders
Iqbal Abdulla,2008-2013,33,Kolkata Knight Riders
SS Iyer,2022-2024,29,Kolkata Knight Riders
VR Iyer,2021-2024,51,Kolkata Knight Riders
SP Jackson,2017-2022,9,Kolkata Knight Riders
N Jagadeesan,2023-2023,6,Kolkata Knight Riders
IR Jaggi,2017-2017,2,Kolkata Knight Riders
MG Johnson,2018-2018,6,Kolkata Knight Riders
JH Kallis,2011-2014,56,Kolkata Knight Riders
KD Karthik,2018-2021,61,Kolkata Knight Riders
M Kartik,2008-2010,26,Kolkata Knight Riders
K Khejroliya,2023-2023,2,Kolkata Knight Riders
Kuldeep Yadav,2016-2020,45,Kolkata Knight Riders
CK Langeveldt,2009-2010,4,Kolkata Knight Riders
B Lee,2011-2013,25,Kolkata Knight Riders
Litton Das,2023-2023,1,Kolkata Knight Riders
CA Lynn,2014-2019,40,Kolkata Knight Riders
BB McCullum,2008-2013,35,Kolkata Knight Riders
R McLaren,2013-2013,2,Kolkata Knight Riders
Mandeep Singh,2010-2023,6,Kolkata Knight Riders
Mashrafe Mortaza,2009-2009,1,Kolkata Knight Riders
AD Mathews,2009-2010,15,Kolkata Knight Riders
BAW Mendis,2008-2010,7,Kolkata Knight Riders
Mohammad Hafeez,2008-2008,8,Kolkata Knight Riders
Mohammed Shami,2013-2013,3,Kolkata Knight Riders
EJG Morgan,2011-2021,57,Kolkata Knight Riders
M Morkel,2014-2016,29,Kolkata Knight Riders
C Munro,2016-2016,4,Kolkata Knight Riders
KL Nagarkoti,2020-2021,11,Kolkata Knight Riders
NS Naik,2019-2020,2,Kolkata Knight Riders
SP Narine,2012-2024,177,Kolkata Knight Riders
S Narwal,2013-2013,2,Kolkata Knight Riders
MK Pandey,2014-2024,56,Kolkata Knight Riders
MB Parmar,2010-2010,1,Kolkata Knight Riders
YK Pathan,2011-2017,106,Kolkata Knight Riders
RT Ponting,2008-2008,4,Kolkata Knight Riders
M Prasidh Krishna,2018-2021,34,Kolkata Knight Riders
Y Prithvi Raj,2019-2019,2,Kolkata Knight Riders
CA Pujara,2010-2010,10,Kolkata Knight Riders
A Raghuvanshi,2024-2024,10,Kolkata Knight Riders
AM Rahane,2022-2022,7,Kolkata Knight Riders
Rahmanullah Gurbaz,2023-2024,14,Kolkata Knight Riders
AS Rajpoot,2016-2017,9,Kolkata Knight Riders
Ramandeep Singh,2024-2024,15,Kolkata Knight Riders
N Rana,2018-2024,90,Kolkata Knight Riders
Rasikh Salam,2022-2022,2,Kolkata Knight Riders
AS Roy,2022-2024,10,Kolkata Knight Riders
JJ Roy,2023-2023,8,Kolkata Knight Riders
AD Russell,2014-2024,120,Kolkata Knight Riders
WP Saha,2008-2010,33,Kolkata Knight Riders
Salman Butt,2008-2008,7,Kolkata Knight Riders
PD Salt,2024-2024,12,Kolkata Knight Riders
S Sandeep Warrier,2019-2021,5,Kolkata Knight Riders
PJ Sangwan,2012-2013,3,Kolkata Knight Riders
SS Sarkar,2009-2009,2,Kolkata Knight Riders
R Sathish,2016-2016,4,Kolkata Knight Riders
JPR Scantlebury-Searles,2018-2018,4,Kolkata Knight Riders
TL Seifert,2021-2021,1,Kolkata Knight Riders
SMSM Senanayake,2013-2013,8,Kolkata Knight Riders
OA Shah,2010-2010,5,Kolkata Knight Riders
SS Shaikh,2009-2009,2,Kolkata Knight Riders
Shakib Al Hasan,2011-2021,51,Kolkata Knight Riders
I Sharma,2008-2010,31,Kolkata Knight Riders
Shivam Mavi,2018-2022,32,Kolkata Knight Riders
Shoaib Akhtar,2008-2008,3,Kolkata Knight Riders
Shubman Gill,2018-2021,58,Kolkata Knight Riders
LR Shukla,2008-2013,42,Kolkata Knight Riders
RK Singh,2018-2024,46,Kolkata Knight Riders
TG Southee,2021-2023,14,Kolkata Knight Riders
MA Starc,2024-2024,14,Kolkata Knight Riders
Suyash Sharma,2023-2024,13,Kolkata Knight Riders
T Taibu,2008-2008,3,Kolkata Knight Riders
RN ten Doeschate,2011-2015,29,Kolkata Knight Riders
SN Thakur,2023-2023,11,Kolkata Knight Riders
MK Tiwary,2010-2013,54,Kolkata Knight Riders
A Tomar,2022-2022,1,Kolkata Knight Riders
RA Tripathi,2020-2021,28,Kolkata Knight Riders
Umar Gul,2008-2008,6,Kolkata Knight Riders
JD Unadkat,2010-2016,12,Kolkata Knight Riders
RV Uthappa,2014-2019,86,Kolkata Knight Riders
MN van Wyk,2009-2009,5,Kolkata Knight Riders
CV Varun,2020-2024,70,Kolkata Knight Riders
R Vinay Kumar,2014-2018,11,Kolkata Knight Riders
D Wiese,2023-2023,3,Kolkata Knight Riders
CR Woakes,2017-2017,13,Kolkata Knight Riders
SA Yadav,2014-2017,54,Kolkata Knight Riders
UT Yadav,2014-2023,67,Kolkata Knight Riders
Yashpal Singh,2009-2009,8,Kolkata Knight Riders
Arshad Khan,2024-2024,4,Lucknow Super Giants
Avesh Khan,2022-2023,22,Lucknow Super Giants
A Badoni,2022-2024,42,Lucknow Super Giants
PVD Chameera,2022-2022,12,Lucknow Super Giants
Q de Kock,2022-2024,30,Lucknow Super Giants
K Gowtham,2022-2024,12,Lucknow Super Giants
MJ Henry,2024-2024,4,Lucknow Super Giants
JO Holder,2022-2022,12,Lucknow Super Giants
DJ Hooda,2022-2024,38,Lucknow Super Giants
S Joseph,2024-2024,1,Lucknow Super Giants
AA Kulkarni,2024-2024,2,Lucknow Super Giants
E Lewis,2022-2022,6,Lucknow Super Giants
PN Mankad,2023-2023,5,Lucknow Super Giants
KR Mayers,2023-2023,13,Lucknow Super Giants
A Mishra,2023-2024,8,Lucknow Super Giants
Mohsin Khan,2022-2024,24,Lucknow Super Giants
Naveen-ul-Haq,2023-2024,18,Lucknow Super Giants
D Padikkal,2024-2024,7,Lucknow Super Giants
MK Pandey,2022-2022,6,Lucknow Super Giants
KH Pandya,2022-2024,43,Lucknow Super Giants
N Pooran,2023-2024,29,Lucknow Super Giants
KL Rahul,2022-2024,38,Lucknow Super Giants
Ravi Bishnoi,2022-2024,43,Lucknow Super Giants
KS Sharma,2022-2023,3,Lucknow Super Giants
R Shepherd,2023-2023,1,Lucknow Super Giants
M Siddharth,2024-2024,3,Lucknow Super Giants
MP Stoinis,2022-2024,40,Lucknow Super Giants
Swapnil Singh,2023-2023,2,Lucknow Super Giants
Yash Thakur,2023-2024,19,Lucknow Super Giants
AJ Turner,2024-2024,2,Lucknow Super Giants
AJ Tye,2022-2022,3,Lucknow Super Giants
JD Unadkat,2023-2023,3,Lucknow Super Giants
M Vohra,2022-2023,3,Lucknow Super Giants
MA Wood,2023-2023,4,Lucknow Super Giants
MP Yadav,2024-2024,4,Lucknow Super Giants
Yudhvir Singh,2023-2024,5,Lucknow Super Giants
AN Ahmed,2010-2013,10,Mumbai Indians
FA Allen,2022-2022,1,Mumbai Indians
CJ Anderson,2014-2015,16,Mumbai Indians
Anmolpreet Singh,2021-2022,3,Mumbai Indians
JC Archer,2023-2023,5,Mumbai Indians
Arshad Khan,2023-2023,6,Mumbai Indians
M Ashwin,2022-2022,8,Mumbai Indians
Basil Thampi,2022-2022,5,Mumbai Indians
JP Behrendorff,2019-2023,17,Mumbai Indians
STR Binny,2010-2010,1,Mumbai Indians
AC Blizzard,2011-2012,7,Mumbai Indians
TA Boult,2020-2021,29,Mumbai Indians
DJ Bravo,2008-2010,30,Mumbai Indians
D Brevis,2022-2024,10,Mumbai Indians
JJ Bumrah,2013-2024,133,Mumbai Indians
JC Buttler,2016-2017,24,Mumbai Indians
YS Chahal,2013-2013,1,Mumbai Indians
RD Chahar,2019-2021,39,Mumbai Indians
UBT Chand,2015-2016,7,Mumbai Indians
PP Chawla,2021-2024,28,Mumbai Indians
SD Chitnis,2008-2008,3,Mumbai Indians
G Coetzee,2024-2024,10,Mumbai Indians
NM Coulter-Nile,2013-2021,13,Mumbai Indians
BCJ Cutting,2018-2019,12,Mumbai Indians
A Dananjaya,2018-2018,1,Mumbai Indians
TH David,2022-2024,37,Mumbai Indians
Q de Kock,2019-2021,43,Mumbai Indians
M de Lange,2014-2015,2,Mumbai Indians
R Dhawan,2013-2013,6,Mumbai Indians
S Dhawan,2009-2010,15,Mumbai Indians
JP Duminy,2009-2018,26,Mumbai Indians
BR Dunk,2014-2014,3,Mumbai Indians
CRD Fernando,2008-2010,10,Mumbai Indians
AJ Finch,2015-2015,3,Mumbai Indians
JEC Franklin,2011-2012,20,Mumbai Indians
CM Gautam,2014-2014,9,Mumbai Indians
HH Gibbs,2012-2012,3,Mumbai Indians
S Gopal,2014-2024,9,Mumbai Indians
R Goyal,2023-2023,1,Mumbai Indians
C Green,2023-2023,16,Mumbai Indians
MJ Guptill,2016-2016,3,Mumbai Indians
Harbhajan Singh,2008-2017,136,Mumbai Indians
MEK Hussey,2014-2014,9,Mumbai Indians
Ishan Kishan,2018-2024,89,Mumbai Indians
DJ Jacobs,2011-2012,7,Mumbai Indians
D Jansen,2023-2023,1,Mumbai Indians
M Jansen,2021-2021,2,Mumbai Indians
ST Jayasuriya,2008-2010,30,Mumbai Indians
MG Johnson,2013-2017,22,Mumbai Indians
CJ Jordan,2023-2023,6,Mumbai Indians
AS Joseph,2019-2019,3,Mumbai Indians
A Kamboj,2024-2024,3,Mumbai Indians
KD Karthik,2012-2013,36,Mumbai Indians
K Kartikeya,2022-2023,12,Mumbai Indians
Z Khan,2009-2014,26,Mumbai Indians
MA Khote,2008-2008,4,Mumbai Indians
DS Kulkarni,2008-2021,35,Mumbai Indians
P Kumar,2014-2014,3,Mumbai Indians
SD Lad,2019-2019,1,Mumbai Indians
RE Levi,2012-2012,6,Mumbai Indians
E Lewis,2018-2019,16,Mumbai Indians
CA Lynn,2021-2021,1,Mumbai Indians
MJ McClenaghan,2015-2019,56,Mumbai Indians
CJ McKay,2012-2012,2,Mumbai Indians
R McLaren,2010-2010,10,Mumbai Indians
C Madan,2010-2010,1,Mumbai Indians
SL Malinga,2009-2019,122,Mumbai Indians
A Madhwal,2023-2024,13,Mumbai Indians
KT Maphaka,2024-2024,2,Mumbai Indians
M Markande,2018-2022,19,Mumbai Indians
GJ Maxwell,2013-2013,3,Mumbai Indians
RP Meredith,2022-2023,13,Mumbai Indians
TS Mills,2022-2022,5,Mumbai Indians
AF Milne,2021-2021,4,Mumbai Indians
Mohammad Ashraful,2009-2009,1,Mumbai Indians
Mohammad Nabi,2024-2024,7,Mumbai Indians
SZ Mulani,2024-2024,2,Mumbai Indians
AG Murtaza,2010-2011,8,Mumbai Indians
Mustafizur Rahman,2018-2018,7,Mumbai Indians
Naman Dhir,2024-2024,7,Mumbai Indians
C Nanda,2009-2009,3,Mumbai Indians
GR Napier,2009-2009,1,Mumbai Indians
AM Nayar,2008-2010,30,Mumbai Indians
JDS Neesham,2021-2021,3,Mumbai Indians
A Nehra,2008-2008,14,Mumbai Indians
A Nel,2008-2008,1,Mumbai Indians
PP Ojha,2012-2015,38,Mumbai Indians
JDP Oram,2013-2013,1,Mumbai Indians
MK Pandey,2008-2008,3,Mumbai Indians
HH Pandya,2015-2024,106,Mumbai Indians
KH Pandya,2016-2021,84,Mumbai Indians
MM Patel,2011-2013,31,Mumbai Indians
PA Patel,2015-2017,40,Mumbai Indians
JL Pattinson,2020-2020,10,Mumbai Indians
RV Pawar,2008-2008,1,Mumbai Indians
NLTC Perera,2012-2012,2,Mumbai Indians
RJ Peterson,2012-2012,5,Mumbai Indians
KA Pollard,2010-2022,189,Mumbai Indians
SM Pollock,2008-2008,13,Mumbai Indians
RT Ponting,2013-2013,6,Mumbai Indians
RW Price,2011-2011,1,Mumbai Indians
AM Rahane,2008-2009,10,Mumbai Indians
RR Raje,2008-2009,10,Mumbai Indians
Ramandeep Singh,2022-2022,5,Mumbai Indians
N Rana,2016-2017,17,Mumbai Indians
Rasikh Salam,2019-2019,1,Mumbai Indians
AT Rayudu,2010-2017,114,Mumbai Indians
L Ronchi,2008-2009,5,Mumbai Indians
AS Roy,2019-2019,1,Mumbai Indians
DR Sams,2022-2022,11,Mumbai Indians
PJ Sangwan,2018-2018,1,Mumbai Indians
R Sanjay Yadav,2022-2022,1,Mumbai Indians
K Santokie,2014-2014,2,Mumbai Indians
R Sathish,2010-2011,21,Mumbai Indians
PR Shah,2008-2009,14,Mumbai Indians
RA Shaikh,2009-2009,1,Mumbai Indians
KV Sharma,2017-2017,9,Mumbai Indians
RG Sharma,2011-2024,212,Mumbai Indians
R Shepherd,2024-2024,6,Mumbai Indians
HR Shokeen,2022-2023,13,Mumbai Indians
R Shukla,2012-2012,1,Mumbai Indians
LMP Simmons,2014-2017,29,Mumbai Indians
RP Singh,2012-2012,11,Mumbai Indians
DR Smith,2008-2013,24,Mumbai Indians
TG Southee,2016-2017,14,Mumbai Indians
BB Sran,2019-2019,2,Mumbai Indians
T Stubbs,2022-2023,4,Mumbai Indians
J Suchith,2015-2016,14,Mumbai Indians
TL Suman,2011-2012,10,Mumbai Indians
P Suyal,2013-2015,5,Mumbai Indians
A Symonds,2011-2011,11,Mumbai Indians
YV Takawale,2008-2009,11,Mumbai Indians
AP Tare,2010-2015,29,Mumbai Indians
AS Tendulkar,2023-2024,5,Mumbai Indians
SR Tendulkar,2008-2013,78,Mumbai Indians
DJ Thornely,2008-2008,6,Mumbai Indians
N Thushara,2024-2024,7,Mumbai Indians
NT Tilak Varma,2022-2024,38,Mumbai Indians
SS Tiwary,2008-2021,36,Mumbai Indians
JD Unadkat,2022-2022,5,Mumbai Indians
RV Uthappa,2008-2008,14,Mumbai Indians
R Vinay Kumar,2015-2017,17,Mumbai Indians
Vishnu Vinod,2023-2023,3,Mumbai Indians
N Wadhera,2023-2024,20,Mumbai Indians
L Wood,2024-2024,2,Mumbai Indians
J Yadav,2019-2021,9,Mumbai Indians
SA Yadav,2012-2024,96,Mumbai Indians
VS Yeligati,2008-2008,2,Mumbai Indians
Yuvraj Singh,2019-2019,4,Mumbai Indians
UA Birla,2013-2013,2,Pune Warriors
MJ Clarke,2012-2012,6,Pune Warriors
AB Dinda,2012-2013,20,Pune Warriors
JP Faulkner,2011-2011,1,Pune Warriors
CJ Ferguson,2011-2012,9,Pune Warriors
AJ Finch,2013-2013,14,Pune Warriors
SC Ganguly,2011-2012,19,Pune Warriors
RV Gomez,2013-2013,2,Pune Warriors
Harpreet Singh,2011-2012,3,Pune Warriors
AA Jhunjhunwala,2011-2011,3,Pune Warriors
Kamran Khan,2011-2011,1,Pune Warriors
M Kartik,2011-2012,17,Pune Warriors
B Kumar,2011-2013,31,Pune Warriors
NL McCullum,2011-2011,2,Pune Warriors
AP Majumdar,2012-2012,4,Pune Warriors
M Manhas,2011-2013,23,Pune Warriors
MR Marsh,2011-2013,14,Pune Warriors
AD Mathews,2012-2013,20,Pune Warriors
BAW Mendis,2013-2013,3,Pune Warriors
MD Mishra,2011-2012,7,Pune Warriors
SS Mundhe,2011-2011,1,Pune Warriors
AG Murtaza,2012-2013,4,Pune Warriors
AM Nayar,2013-2013,11,Pune Warriors
A Nehra,2012-2012,13,Pune Warriors
TD Paine,2011-2011,2,Pune Warriors
IC Pandey,2013-2013,2,Pune Warriors
MK Pandey,2011-2013,27,Pune Warriors
WD Parnell,2011-2013,18,Pune Warriors
Parvez Rasool,2013-2013,2,Pune Warriors
S Rana,2011-2011,2,Pune Warriors
M Rawat,2013-2013,2,Pune Warriors
KW Richardson,2013-2013,3,Pune Warriors
JD Ryder,2011-2012,24,Pune Warriors
MN Samuels,2012-2013,10,Pune Warriors
R Sharma,2011-2013,36,Pune Warriors
GC Smith,2011-2011,4,Pune Warriors
SPD Smith,2012-2013,22,Pune Warriors
TL Suman,2013-2013,7,Pune Warriors
JE Taylor,2011-2011,5,Pune Warriors
LRPL Taylor,2013-2013,5,Pune Warriors
AC Thomas,2011-2012,15,Pune Warriors
K Upadhyay,2012-2013,3,Pune Warriors
RV Uthappa,2011-2013,46,Pune Warriors
SB Wagh,2011-2011,7,Pune Warriors
LJ Wright,2012-2013,7,Pune Warriors
Yuvraj Singh,2011-2013,27,Pune Warriors
VR Aaron,2019-2020,8,Rajasthan Royals
Abdul Basith,2023-2023,1,Rajasthan Royals
Akash Singh,2021-2021,1,Rajasthan Royals
Ankit Sharma,2014-2018,8,Rajasthan Royals
Anuj Rawat,2021-2021,2,Rajasthan Royals
Anureet Singh,2018-2018,3,Rajasthan Royals
JC Archer,2018-2020,35,Rajasthan Royals
M Ashwin,2023-2023,2,Rajasthan Royals
R Ashwin,2022-2024,45,Rajasthan Royals
KM Asif,2023-2023,4,Rajasthan Royals
SA Asnodkar,2008-2011,20,Rajasthan Royals
Avesh Khan,2024-2024,16,Rajasthan Royals
S Badree,2013-2013,1,Rajasthan Royals
R Bhatia,2014-2015,14,Rajasthan Royals
STR Binny,2011-2019,72,Rajasthan Royals
J Botha,2009-2012,24,Rajasthan Royals
TA Boult,2022-2024,42,Rajasthan Royals
N Burger,2024-2024,6,Rajasthan Royals
JC Buttler,2018-2024,83,Rajasthan Royals
LA Carseldine,2009-2009,5,Rajasthan Royals
YS Chahal,2022-2024,46,Rajasthan Royals
UBT Chand,2014-2014,1,Rajasthan Royals
A Chandila,2012-2013,12,Rajasthan Royals
AA Chavan,2011-2013,13,Rajasthan Royals
SD Chitnis,2009-2009,1,Rajasthan Royals
P Chopra,2018-2019,2,Rajasthan Royals
KK Cooper,2012-2014,25,Rajasthan Royals
NM Coulter-Nile,2022-2022,1,Rajasthan Royals
