Player,Span,Mat,Team
TK Curran,2020-2020,5,Rajasthan Royals
BCJ Cutting,2014-2014,1,Rajasthan Royals
P Dogra,2010-2010,9,Rajasthan Royals
AP Dole,2010-2010,3,Rajasthan Royals
ND Doshi,2011-2011,3,Rajasthan Royals
R Dravid,2011-2013,46,Rajasthan Royals
S Dube,2021-2021,9,Rajasthan Royals
SB Dubey,2024-2024,4,Rajasthan Royals
JP Faulkner,2013-2015,42,Rajasthan Royals
FY Fazal,2010-2011,12,Rajasthan Royals
D Ferreira,2024-2024,2,Rajasthan Royals
AJ Finch,2010-2010,1,Rajasthan Royals
S Gopal,2018-2021,42,Rajasthan Royals
SP Goswami,2012-2012,11,Rajasthan Royals
K Gowtham,2018-2019,22,Rajasthan Royals
Harmeet Singh,2013-2013,1,Rajasthan Royals
SM Harwood,2009-2009,3,Rajasthan Royals
T Henderson,2009-2009,2,Rajasthan Royals
SO Hetmyer,2022-2024,41,Rajasthan Royals
BJ Hodge,2012-2014,33,Rajasthan Royals
GB Hogg,2012-2013,10,Rajasthan Royals
JO Holder,2023-2023,8,Rajasthan Royals
DJ Hooda,2015-2015,14,Rajasthan Royals
Iqbal Abdulla,2014-2014,1,Rajasthan Royals
RA Jadeja,2008-2009,27,Rajasthan Royals
YBK Jaiswal,2020-2024,53,Rajasthan Royals
AA Jhunjhunwala,2010-2010,13,Rajasthan Royals
DC Jurel,2023-2024,28,Rajasthan Royals
M Kaif,2008-2008,16,Rajasthan Royals
Kamran Akmal,2008-2008,6,Rajasthan Royals
Kamran Khan,2009-2010,8,Rajasthan Royals
Kartik Tyagi,2020-2021,14,Rajasthan Royals
H Klaasen,2018-2018,4,Rajasthan Royals
T Kohler-Cadmore,2024-2024,4,Rajasthan Royals
T Kohli,2008-2008,2,Rajasthan Royals
TK Kotian,2024-2024,1,Rajasthan Royals
DS Kulkarni,2014-2019,37,Rajasthan Royals
B Laughlin,2018-2018,7,Rajasthan Royals
DS Lehmann,2008-2008,2,Rajasthan Royals
E Lewis,2021-2021,5,Rajasthan Royals
LS Livingstone,2019-2021,9,Rajasthan Royals
MK Lomror,2018-2021,11,Rajasthan Royals
MJ Lumb,2010-2010,11,Rajasthan Royals
OC McCoy,2022-2023,8,Rajasthan Royals
KA Maharaj,2024-2024,2,Rajasthan Royals
VS Malik,2013-2014,4,Rajasthan Royals
M Markande,2021-2021,1,Rajasthan Royals
DR Martyn,2010-2010,1,Rajasthan Royals
AD Mascarenhas,2008-2010,8,Rajasthan Royals
AL Menaria,2011-2013,29,Rajasthan Royals
S Midhun,2019-2019,1,Rajasthan Royals
DA Miller,2020-2021,10,Rajasthan Royals
DJ Mitchell,2022-2022,2,Rajasthan Royals
M Morkel,2009-2010,4,Rajasthan Royals
CH Morris,2015-2021,22,Rajasthan Royals
Mustafizur Rahman,2021-2021,14,Rajasthan Royals
KK Nair,2014-2022,28,Rajasthan Royals
S Narwal,2010-2010,5,Rajasthan Royals
AM Nayar,2014-2014,5,Rajasthan Royals
JDS Neesham,2022-2022,2,Rajasthan Royals
NV Ojha,2009-2010,22,Rajasthan Royals
JDP Oram,2011-2011,2,Rajasthan Royals
D Padikkal,2022-2023,28,Rajasthan Royals
Pankaj Singh,2008-2012,12,Rajasthan Royals
R Parag,2019-2024,70,Rajasthan Royals
MM Patel,2008-2010,30,Rajasthan Royals
NK Patel,2008-2009,9,Rajasthan Royals
YK Pathan,2008-2010,43,Rajasthan Royals
AG Paunikar,2010-2011,5,Rajasthan Royals
MDKJ Perera,2013-2013,2,Rajasthan Royals
GD Phillips,2021-2021,3,Rajasthan Royals
R Powell,2024-2024,10,Rajasthan Royals
M Prasidh Krishna,2022-2022,17,Rajasthan Royals
RJ Quiney,2009-2009,7,Rajasthan Royals
AM Rahane,2011-2019,100,Rajasthan Royals
AS Rajpoot,2020-2020,6,Rajasthan Royals
AS Raut,2009-2011,22,Rajasthan Royals
M Rawat,2008-2009,16,Rajasthan Royals
KW Richardson,2014-2014,7,Rajasthan Royals
JE Root,2023-2023,3,Rajasthan Royals
Sachin Baby,2013-2013,4,Rajasthan Royals
NA Saini,2022-2023,4,Rajasthan Royals
C Sakariya,2021-2021,14,Rajasthan Royals
D Salunkhe,2008-2008,6,Rajasthan Royals
SV Samson,2013-2024,140,Rajasthan Royals
Sandeep Sharma,2023-2024,23,Rajasthan Royals
KR Sen,2022-2024,12,Rajasthan Royals
OA Shah,2012-2013,15,Rajasthan Royals
PR Shah,2011-2011,2,Rajasthan Royals
T Shamsi,2021-2021,1,Rajasthan Royals
DJM Short,2018-2018,7,Rajasthan Royals
R Shukla,2013-2013,3,Rajasthan Royals
A Singh,2009-2012,23,Rajasthan Royals
GC Smith,2008-2010,25,Rajasthan Royals
SPD Smith,2014-2020,50,Rajasthan Royals
IS Sodhi,2018-2019,8,Rajasthan Royals
Sohail Tanvir,2008-2008,11,Rajasthan Royals
TG Southee,2014-2015,10,Rajasthan Royals
BB Sran,2015-2015,1,Rajasthan Royals
S Sreesanth,2013-2013,7,Rajasthan Royals
BA Stokes,2018-2021,31,Rajasthan Royals
SW Tait,2010-2013,21,Rajasthan Royals
PV Tambe,2013-2015,26,Rajasthan Royals
LRPL Taylor,2011-2011,12,Rajasthan Royals
R Tewatia,2014-2021,32,Rajasthan Royals
J Theron,2015-2015,1,Rajasthan Royals
O Thomas,2019-2019,4,Rajasthan Royals
RA Tripathi,2018-2019,20,Rajasthan Royals
SK Trivedi,2008-2013,76,Rajasthan Royals
AJ Turner,2019-2019,4,Rajasthan Royals
AJ Tye,2020-2020,1,Rajasthan Royals
JD Unadkat,2018-2021,39,Rajasthan Royals
A Uniyal,2010-2010,2,Rajasthan Royals
RV Uthappa,2020-2020,12,Rajasthan Royals
PC Valthaty,2009-2009,2,Rajasthan Royals
HE van der Dussen,2022-2022,3,Rajasthan Royals
AC Voges,2010-2010,9,Rajasthan Royals
M Vohra,2021-2021,4,Rajasthan Royals
SB Wagh,2010-2010,1,Rajasthan Royals
SK Warne,2008-2011,55,Rajasthan Royals
SR Watson,2008-2015,78,Rajasthan Royals
K Yadav,2021-2023,3,Rajasthan Royals
DH Yagnik,2011-2014,25,Rajasthan Royals
Younis Khan,2008-2008,1,Rajasthan Royals
A Zampa,2023-2023,6,Rajasthan Royals
MA Agarwal,2017-2017,3,Rising Pune Supergiants
Ankit Sharma,2016-2017,4,Rising Pune Supergiants
M Ashwin,2016-2016,10,Rising Pune Supergiants
R Ashwin,2016-2016,14,Rising Pune Supergiants
GJ Bailey,2016-2016,6,Rising Pune Supergiants
R Bhatia,2016-2017,13,Rising Pune Supergiants
SM Boland,2016-2016,2,Rising Pune Supergiants
DL Chahar,2016-2017,5,Rising Pune Supergiants
RD Chahar,2017-2017,3,Rising Pune Supergiants
DT Christian,2017-2017,13,Rising Pune Supergiants
MS Dhoni,2016-2017,30,Rising Pune Supergiants
AB Dinda,2016-2017,12,Rising Pune Supergiants
F du Plessis,2016-2017,8,Rising Pune Supergiants
LH Ferguson,2017-2017,4,Rising Pune Supergiants
PSP Handscomb,2016-2016,2,Rising Pune Supergiants
Imran Tahir,2017-2017,12,Rising Pune Supergiants
UT Khawaja,2016-2016,6,Rising Pune Supergiants
MR Marsh,2016-2016,3,Rising Pune Supergiants
JA Morkel,2016-2016,2,Rising Pune Supergiants
IK Pathan,2016-2016,4,Rising Pune Supergiants
NLTC Perera,2016-2016,12,Rising Pune Supergiants
KP Pietersen,2016-2016,4,Rising Pune Supergiants
AM Rahane,2016-2017,30,Rising Pune Supergiants
I Sharma,2016-2016,4,Rising Pune Supergiants
RP Singh,2016-2016,4,Rising Pune Supergiants
SPD Smith,2016-2017,23,Rising Pune Supergiants
BA Stokes,2017-2017,12,Rising Pune Supergiants
SN Thakur,2017-2017,12,Rising Pune Supergiants
MK Tiwary,2017-2017,15,Rising Pune Supergiants
SS Tiwary,2016-2016,10,Rising Pune Supergiants
RA Tripathi,2017-2017,14,Rising Pune Supergiants
JD Unadkat,2017-2017,12,Rising Pune Supergiants
Washington Sundar,2017-2017,11,Rising Pune Supergiants
A Zampa,2016-2017,11,Rising Pune Supergiants
PW Hasaranga,2021-2023,26,Royal Challengers Bangalore
VR Aaron,2014-2016,24,Royal Challengers Bangalore
SA Abbott,2015-2015,2,Royal Challengers Bangalore
Abdur Razzak,2008-2008,1,Royal Challengers Bangalore
AD Nath,2019-2019,8,Royal Challengers Bangalore
MA Agarwal,2011-2013,29,Royal Challengers Bangalore
AN Ahmed,2014-2015,7,Royal Challengers Bangalore
Akash Deep,2022-2024,8,Royal Challengers Bangalore
B Akhil,2008-2010,14,Royal Challengers Bangalore
MM Ali,2018-2020,19,Royal Challengers Bangalore
CJ Anderson,2018-2018,3,Royal Challengers Bangalore
Anuj Rawat,2022-2024,22,Royal Challengers Bangalore
KP Appanna,2009-2012,14,Royal Challengers Bangalore
S Aravind,2011-2017,38,Royal Challengers Bangalore
KB Arun Karthik,2011-2013,16,Royal Challengers Bangalore
J Arunkumar,2008-2008,3,Royal Challengers Bangalore
M Ashwin,2018-2018,2,Royal Challengers Bangalore
Avesh Khan,2017-2017,1,Royal Challengers Bangalore
S Badree,2017-2017,7,Royal Challengers Bangalore
KS Bharat,2021-2021,8,Royal Challengers Bangalore
RR Bhatkal,2012-2012,1,Royal Challengers Bangalore
STR Binny,2016-2017,22,Royal Challengers Bangalore
R Bishnoi,2009-2009,3,Royal Challengers Bangalore
MS Bisla,2015-2015,2,Royal Challengers Bangalore
MV Boucher,2008-2010,27,Royal Challengers Bangalore
MG Bracewell,2023-2023,5,Royal Challengers Bangalore
YS Chahal,2014-2021,113,Royal Challengers Bangalore
S Chanderpaul,2008-2008,3,Royal Challengers Bangalore
SD Chauhan,2024-2024,3,Royal Challengers Bangalore
B Chipli,2008-2008,3,Royal Challengers Bangalore
A Choudhary,2017-2017,5,Royal Challengers Bangalore
DT Christian,2013-2021,11,Royal Challengers Bangalore
MJ Dagar,2024-2024,5,Royal Challengers Bangalore
TH David,2021-2021,1,Royal Challengers Bangalore
C de Grandhomme,2018-2019,13,Royal Challengers Bangalore
Q de Kock,2018-2018,8,Royal Challengers Bangalore
AB de Villiers,2011-2021,156,Royal Challengers Bangalore
TM Dilshan,2011-2013,25,Royal Challengers Bangalore
AB Dinda,2014-2015,11,Royal Challengers Bangalore
ND Doshi,2010-2010,1,Royal Challengers Bangalore
R Dravid,2008-2010,43,Royal Challengers Bangalore
S Dube,2019-2020,15,Royal Challengers Bangalore
F du Plessis,2022-2024,45,Royal Challengers Bangalore
D du Preez,2009-2009,2,Royal Challengers Bangalore
LH Ferguson,2024-2024,7,Royal Challengers Bangalore
AJ Finch,2020-2020,12,Royal Challengers Bangalore
GHS Garton,2021-2021,5,Royal Challengers Bangalore
CH Gayle,2011-2017,85,Royal Challengers Bangalore
SP Goswami,2008-2010,7,Royal Challengers Bangalore
C Green,2024-2024,13,Royal Challengers Bangalore
Gurkeerat Singh,2019-2020,11,Royal Challengers Bangalore
JR Hazlewood,2022-2023,15,Royal Challengers Bangalore
TM Head,2016-2017,10,Royal Challengers Bangalore
MC Henriques,2013-2013,10,Royal Challengers Bangalore
SO Hetmyer,2019-2019,5,Royal Challengers Bangalore
Iqbal Abdulla,2015-2017,15,Royal Challengers Bangalore
WG Jacks,2024-2024,8,Royal Challengers Bangalore
KM Jadhav,2016-2023,19,Royal Challengers Bangalore
W Jaffer,2008-2009,8,Royal Challengers Bangalore
SB Jakati,2014-2014,1,Royal Challengers Bangalore
KA Jamieson,2021-2021,9,Royal Challengers Bangalore
CJ Jordan,2016-2016,9,Royal Challengers Bangalore
AS Joseph,2024-2024,3,Royal Challengers Bangalore
SB Joshi,2008-2008,4,Royal Challengers Bangalore
M Kaif,2011-2012,9,Royal Challengers Bangalore
JH Kallis,2008-2010,42,Royal Challengers Bangalore
KD Karthik,2015-2024,60,Royal Challengers Bangalore
M Kartik,2013-2013,11,Royal Challengers Bangalore
S Kaul,2022-2022,1,Royal Challengers Bangalore
AA Kazi,2011-2011,1,Royal Challengers Bangalore
SN Khan,2015-2018,25,Royal Challengers Bangalore
Z Khan,2008-2013,44,Royal Challengers Bangalore
K Khejroliya,2018-2019,5,Royal Challengers Bangalore
H Klaasen,2019-2019,3,Royal Challengers Bangalore
V Kohli,2008-2024,252,Royal Challengers Bangalore
P Kumar,2008-2010,38,Royal Challengers Bangalore
A Kumble,2008-2010,42,Royal Challengers Bangalore
CK Langeveldt,2011-2011,3,Royal Challengers Bangalore
MK Lomror,2022-2024,29,Royal Challengers Bangalore
BB McCullum,2018-2018,6,Royal Challengers Bangalore
AB McDonald,2012-2013,5,Royal Challengers Bangalore
NJ Maddinson,2014-2015,3,Royal Challengers Bangalore
Mandeep Singh,2015-2018,40,Royal Challengers Bangalore
GJ Maxwell,2021-2024,52,Royal Challengers Bangalore
TS Mills,2017-2017,5,Royal Challengers Bangalore
AF Milne,2016-2017,5,Royal Challengers Bangalore
Misbah-ul-Haq,2008-2008,8,Royal Challengers Bangalore
A Mithun,2009-2013,16,Royal Challengers Bangalore
Mohammed Siraj,2018-2024,87,Royal Challengers Bangalore
EJG Morgan,2010-2010,6,Royal Challengers Bangalore
JA Morkel,2014-2014,7,Royal Challengers Bangalore
CH Morris,2020-2020,9,Royal Challengers Bangalore
A Mukund,2013-2013,1,Royal Challengers Bangalore
M Muralidaran,2012-2014,21,Royal Challengers Bangalore
KK Nair,2013-2013,2,Royal Challengers Bangalore
DP Nannes,2011-2011,2,Royal Challengers Bangalore
P Negi,2017-2019,21,Royal Challengers Bangalore
R Ninan,2011-2011,2,Royal Challengers Bangalore
AA Noffke,2008-2008,1,Royal Challengers Bangalore
D Padikkal,2020-2021,29,Royal Challengers Bangalore
MK Pandey,2009-2010,18,Royal Challengers Bangalore
Pankaj Singh,2009-2010,5,Royal Challengers Bangalore
P Parameswaran,2012-2012,3,Royal Challengers Bangalore
WD Parnell,2023-2023,7,Royal Challengers Bangalore
Parvez Rasool,2016-2016,4,Royal Challengers Bangalore
HV Patel,2012-2023,80,Royal Challengers Bangalore
PA Patel,2014-2019,32,Royal Challengers Bangalore
AUK Pathan,2011-2012,8,Royal Challengers Bangalore
RM Patidar,2021-2024,27,Royal Challengers Bangalore
DT Patil,2008-2008,2,Royal Challengers Bangalore
JR Philippe,2020-2020,5,Royal Challengers Bangalore
KP Pietersen,2009-2010,13,Royal Challengers Bangalore
LA Pomersbach,2011-2011,5,Royal Challengers Bangalore
SS Prabhudessai,2022-2024,11,Royal Challengers Bangalore
CA Pujara,2011-2013,14,Royal Challengers Bangalore
KL Rahul,2013-2016,19,Royal Challengers Bangalore
R Rampaul,2013-2014,12,Royal Challengers Bangalore
S Rana,2014-2014,9,Royal Challengers Bangalore
P Ray Barman,2019-2019,1,Royal Challengers Bangalore
KW Richardson,2016-2021,5,Royal Challengers Bangalore
RR Rossouw,2014-2015,5,Royal Challengers Bangalore
SE Rutherford,2022-2022,3,Royal Challengers Bangalore
JD Ryder,2009-2009,5,Royal Challengers Bangalore
Sachin Baby,2016-2021,15,Royal Challengers Bangalore
Shahbaz Ahmed,2020-2023,39,Royal Challengers Bangalore
NA Saini,2019-2021,28,Royal Challengers Bangalore
DJG Sammy,2015-2015,2,Royal Challengers Bangalore
DR Sams,2021-2021,2,Royal Challengers Bangalore
T Shamsi,2016-2016,4,Royal Challengers Bangalore
H Sharma,2023-2024,2,Royal Challengers Bangalore
KV Sharma,2009-2024,17,Royal Challengers Bangalore
RP Singh,2013-2013,11,Royal Challengers Bangalore
TG Southee,2018-2019,11,Royal Challengers Bangalore
S Sriram,2010-2010,1,Royal Challengers Bangalore
B Stanlake,2017-2017,2,Royal Challengers Bangalore
MA Starc,2014-2015,27,Royal Challengers Bangalore
DW Steyn,2008-2020,33,Royal Challengers Bangalore
MP Stoinis,2019-2019,10,Royal Challengers Bangalore
Swapnil Singh,2024-2024,7,Royal Challengers Bangalore
J Syed Mohammad,2011-2013,11,Royal Challengers Bangalore
YV Takawale,2014-2014,5,Royal Challengers Bangalore
LRPL Taylor,2008-2010,22,Royal Challengers Bangalore
SS Tiwary,2011-2013,40,Royal Challengers Bangalore
RJW Topley,2023-2024,5,Royal Challengers Bangalore
I Udana,2020-2020,10,Royal Challengers Bangalore
JD Unadkat,2013-2013,13,Royal Challengers Bangalore
RV Uthappa,2009-2010,31,Royal Challengers Bangalore
RE van der Merwe,2009-2010,11,Royal Challengers Bangalore
JJ van der Wath,2011-2011,3,Royal Challengers Bangalore
DL Vettori,2011-2012,22,Royal Challengers Bangalore
R Vinay Kumar,2008-2013,64,Royal Challengers Bangalore
Vishnu Vinod,2017-2017,3,Royal Challengers Bangalore
M Vohra,2018-2018,4,Royal Challengers Bangalore
V Vyshak,2023-2024,11,Royal Challengers Bangalore
Washington Sundar,2018-2021,31,Royal Challengers Bangalore
SR Watson,2016-2017,24,Royal Challengers Bangalore
CL White,2008-2010,15,Royal Challengers Bangalore
D Wiese,2015-2016,15,Royal Challengers Bangalore
DJ Willey,2022-2023,8,Royal Challengers Bangalore
CR Woakes,2018-2018,5,Royal Challengers Bangalore
UT Yadav,2018-2020,27,Royal Challengers Bangalore
Yash Dayal,2024-2024,14,Royal Challengers Bangalore
Yuvraj Singh,2014-2014,14,Royal Challengers Bangalore
A Zampa,2020-2020,3,Royal Challengers Bangalore
VH Zol,2014-2014,3,Royal Challengers Bangalore
SA Abbott,2022-2022,1,Sunrisers Hyderabad
Abdul Samad,2020-2024,50,Sunrisers Hyderabad
Abhishek Sharma,2019-2024,60,Sunrisers Hyderabad
MA Agarwal,2023-2024,14,Sunrisers Hyderabad
KK Ahmed,2018-2021,24,Sunrisers Hyderabad
Anand Rajan,2013-2013,2,Sunrisers Hyderabad
S Anirudha,2014-2014,1,Sunrisers Hyderabad
Ankit Sharma,2013-2013,1,Sunrisers Hyderabad
Anmolpreet Singh,2023-2024,6,Sunrisers Hyderabad
A Ashish Reddy,2013-2016,22,Sunrisers Hyderabad
JM Bairstow,2019-2021,28,Sunrisers Hyderabad
Basil Thampi,2018-2020,8,Sunrisers Hyderabad
RK Bhui,2018-2019,2,Sunrisers Hyderabad
Bipul Sharma,2015-2017,18,Sunrisers Hyderabad
RS Bopara,2015-2015,9,Sunrisers Hyderabad
TA Boult,2015-2016,8,Sunrisers Hyderabad
CR Brathwaite,2018-2018,4,Sunrisers Hyderabad
HC Brook,2023-2023,11,Sunrisers Hyderabad
PJ Cummins,2024-2024,16,Sunrisers Hyderabad
BCJ Cutting,2016-2017,8,Sunrisers Hyderabad
MJ Dagar,2023-2023,3,Sunrisers Hyderabad
Q de Kock,2013-2013,3,Sunrisers Hyderabad
S Dhawan,2013-2018,85,Sunrisers Hyderabad
Fazalhaq Farooqi,2022-2023,7,Sunrisers Hyderabad
AJ Finch,2014-2014,13,Sunrisers Hyderabad
PK Garg,2020-2022,21,Sunrisers Hyderabad
S Gopal,2022-2022,1,Sunrisers Hyderabad
SP Goswami,2018-2020,8,Sunrisers Hyderabad
MJ Guptill,2019-2019,3,Sunrisers Hyderabad
AD Hales,2018-2018,6,Sunrisers Hyderabad
TM Head,2024-2024,15,Sunrisers Hyderabad
MC Henriques,2014-2017,42,Sunrisers Hyderabad
JO Holder,2014-2021,16,Sunrisers Hyderabad
DJ Hooda,2016-2019,47,Sunrisers Hyderabad
AJ Hosein,2023-2023,1,Sunrisers Hyderabad
KM Jadhav,2021-2021,6,Sunrisers Hyderabad
M Jansen,2022-2024,19,Sunrisers Hyderabad
CJ Jordan,2017-2018,2,Sunrisers Hyderabad
Kartik Tyagi,2022-2023,5,Sunrisers Hyderabad
S Kaul,2017-2021,43,Sunrisers Hyderabad
H Klaasen,2023-2024,28,Sunrisers Hyderabad
B Kumar,2014-2024,145,Sunrisers Hyderabad
P Kumar,2015-2015,12,Sunrisers Hyderabad
M Markande,2023-2024,17,Sunrisers Hyderabad
AK Markram,2022-2024,38,Sunrisers Hyderabad
MR Marsh,2020-2020,1,Sunrisers Hyderabad
A Mishra,2013-2014,27,Sunrisers Hyderabad
Mohammad Nabi,2017-2021,17,Sunrisers Hyderabad
Mohammed Siraj,2017-2017,6,Sunrisers Hyderabad
EJG Morgan,2015-2016,16,Sunrisers Hyderabad
Mujeeb Ur Rahman,2021-2021,1,Sunrisers Hyderabad
Mustafizur Rahman,2016-2017,17,Sunrisers Hyderabad
S Nadeem,2019-2021,11,Sunrisers Hyderabad
T Natarajan,2020-2024,55,Sunrisers Hyderabad
A Nehra,2016-2017,14,Sunrisers Hyderabad
K Nitish Kumar Reddy,2023-2024,15,Sunrisers Hyderabad
NV Ojha,2014-2017,56,Sunrisers Hyderabad
MK Pandey,2018-2021,51,Sunrisers Hyderabad
Parvez Rasool,2014-2015,5,Sunrisers Hyderabad
PA Patel,2013-2013,13,Sunrisers Hyderabad
IK Pathan,2014-2014,10,Sunrisers Hyderabad
YK Pathan,2018-2019,25,Sunrisers Hyderabad
NLTC Perera,2013-2013,16,Sunrisers Hyderabad
GD Phillips,2023-2023,5,Sunrisers Hyderabad
N Pooran,2022-2022,14,Sunrisers Hyderabad
KL Rahul,2014-2015,20,Sunrisers Hyderabad
AU Rashid,2023-2023,2,Sunrisers Hyderabad
Rashid Khan,2017-2021,76,Sunrisers Hyderabad
DB Ravi Teja,2013-2013,2,Sunrisers Hyderabad
PA Reddy,2013-2013,7,Sunrisers Hyderabad
JJ Roy,2021-2021,5,Sunrisers Hyderabad
WP Saha,2018-2021,29,Sunrisers Hyderabad
Shahbaz Ahmed,2024-2024,16,Sunrisers Hyderabad
BB Samantray,2013-2013,8,Sunrisers Hyderabad
DJG Sammy,2013-2014,20,Sunrisers Hyderabad
Sandeep Sharma,2018-2021,43,Sunrisers Hyderabad
KC Sangakkara,2013-2013,9,Sunrisers Hyderabad
Sanvir Singh,2023-2024,6,Sunrisers Hyderabad
V Shankar,2017-2021,33,Sunrisers Hyderabad
Shakib Al Hasan,2018-2019,20,Sunrisers Hyderabad
I Sharma,2013-2015,23,Sunrisers Hyderabad
KV Sharma,2013-2016,46,Sunrisers Hyderabad
Shashank Singh,2022-2022,10,Sunrisers Hyderabad
R Shepherd,2022-2022,3,Sunrisers Hyderabad
BB Sran,2016-2017,15,Sunrisers Hyderabad
B Stanlake,2018-2018,4,Sunrisers Hyderabad
DW Steyn,2013-2015,37,Sunrisers Hyderabad
J Suchith,2021-2022,7,Sunrisers Hyderabad
AP Tare,2016-2016,3,Sunrisers Hyderabad
X Thalaivan Sargunam,2013-2013,1,Sunrisers Hyderabad
RA Tripathi,2022-2024,33,Sunrisers Hyderabad
Umran Malik,2021-2024,26,Sunrisers Hyderabad
JD Unadkat,2024-2024,11,Sunrisers Hyderabad
Y Venugopal Rao,2014-2014,7,Sunrisers Hyderabad
GH Vihari,2013-2015,22,Sunrisers Hyderabad
Virat Singh,2021-2021,3,Sunrisers Hyderabad
Vivrant Sharma,2023-2023,3,Sunrisers Hyderabad
V Viyaskanth,2024-2024,3,Sunrisers Hyderabad
DA Warner,2014-2021,95,Sunrisers Hyderabad
Washington Sundar,2022-2024,18,Sunrisers Hyderabad
CL White,2013-2013,13,Sunrisers Hyderabad
KS Williamson,2015-2022,76,Sunrisers Hyderabad
Yuvraj Singh,2016-2017,22,Sunrisers Hyderabad
